Orphanet;MeSH;OMIM;MedDRA;UMLS;ICD-10
ORPHA:219;-;601287;-;C1832525;G71.0
ORPHA:220;D030321;194080;10070179;C0950121;N04.1
ORPHA:221;D003882;-;10012503;C0011633;M33.0
ORPHA:222;-;-;-;C0406464;-
ORPHA:223;D018500;304800;10029147;C0162283;N25.1
ORPHA:224;-;-;10028933;C0158981;P70.2
ORPHA:225;C536246;520000;-;C0342289;E13.8
ORPHA:226;C537896;261630;-;C2936906;E70.1
ORPHA:227;-;-;-;-;Q55.6
ORPHA:229;-;607086;-;C0392775;I71.0
ORPHA:230;C535600;223360;-;C0342687;G90.8
ORPHA:231;D004320;-;10013618;C0013100;B72
ORPHA:232;D000755;603903;10040641;C0002895;D57.2
ORPHA:233;D004370;617041;10013799;C0013261;H50.8
ORPHA:234;D007566;237500;10013800;C0022350;E80.6
ORPHA:235;C535718;223370;10059589;C0175691;Q87.1
ORPHA:236;-;-;-;C0265428;Q92.2
ORPHA:237;-;-;-;C0266348;Q64.7
ORPHA:238;-;-;-;-;Q45.8
ORPHA:239;C535726;223800;-;C0265286;Q77.7
ORPHA:240;C537119;127300;-;C0265309;Q77.8
ORPHA:241;-;127500;-;C1306229;L81.8
ORPHA:242;-;300018;-;C2936694;Q99.1
ORPHA:243;D023961;300510;-;C0685837;Q99.1
ORPHA:244;-;612649;10069713;-;Q34.8
ORPHA:245;C538184;154400;-;C0265245;Q75.4
ORPHA:246;-;263750;-;C0265257;Q75.4
ORPHA:247;D019571;-;10058093;C0349788;I42.8
ORPHA:248;D053360;614941;-;C0406702;Q82.4
ORPHA:249;D005357;-;10016664;C0016063;Q78.1
ORPHA:250;C538065;-;-;C0432106;Q75.8
ORPHA:251;-;-;10028197;C0026760;Q77.3
ORPHA:252;-;-;-;-;-
ORPHA:253;-;-;10062920;C0038015;Q77.7
ORPHA:254;-;-;-;-;Q77.8
ORPHA:255;C538007;-;-;C1851920;G24.8
ORPHA:256;-;128100;-;C3888090;G24.1
ORPHA:257;-;226670;-;C2931072;Q81.0
ORPHA:258;-;607855;-;C1263858;G71.2
ORPHA:261;D020389;300696;-;C0410189;G71.0
ORPHA:262;-;-;-;C0917713;G71.0
ORPHA:263;D049288;-;-;C0686353;G71.0
ORPHA:264;-;181350;-;C1834653;G71.0
ORPHA:265;-;606072;-;C1832567;G71.0
ORPHA:266;-;609200;-;C1834659;G71.0
ORPHA:267;-;253600;-;C1869123;G71.0
ORPHA:268;-;253601;-;C1850889;G71.0
ORPHA:269;-;158901;10064087;C0238288;G71.0
ORPHA:270;D039141;164300;10052181;C0270952;G71.0
ORPHA:272;-;253800;-;C0410174;G71.0
ORPHA:273;C538008;160900;-;C2931688;G71.1
ORPHA:274;D001606;153670;10057473;C0005129;D69.1
ORPHA:275;-;602450;-;C1865372;D81.1
ORPHA:276;-;300400;-;C2931540;D81.2
ORPHA:277;C531816;102700;10066367;C0392607;D81.3
ORPHA:278;-;-;-;-;-
ORPHA:280;C536740;194190;10050361;C1956097;Q93.3
ORPHA:281;D003410;123450;10011385;C0010314;Q93.4
ORPHA:282;D057180;172700;10068968;C0338451;G31.0
ORPHA:283;-;-;-;C3854478;B88.0
ORPHA:284;C536591;-;10053042;C0948954;B67.5
ORPHA:285;-;130020;-;C0268337;Q79.6
ORPHA:286;-;130050;-;C0268338;Q79.6
ORPHA:287;-;130000;-;C0220679;Q79.6
ORPHA:288;D004612;611804;10014490;C0013902;D58.1
ORPHA:289;D004613;617088;10008724;C0013903;Q77.6
ORPHA:290;D012410;-;10010618;C0035921;P35.0
ORPHA:291;-;-;-;-;P35.8
ORPHA:292;-;-;-;-;P35.8
ORPHA:293;-;-;-;-;P35.2
ORPHA:294;-;-;-;C0349499;P35.1
ORPHA:295;-;-;-;C2931167;P35.8
ORPHA:296;D004687;166000;10014642;C0013366;Q78.4
ORPHA:297;D004675;-;10043848;C0014061;A84.0
ORPHA:298;-;603041;-;C0872218;G71.3
ORPHA:300;C536663;261515;-;C0342870;E71.3
ORPHA:301;-;137800;-;C0014474;C71.7
ORPHA:302;D004819;618231;10052339;C0014522;B07
ORPHA:303;-;-;-;C0079294;Q81.2
ORPHA:304;-;-;-;C0079298;Q81.0
ORPHA:305;D016109;-;-;C0079301;-
ORPHA:306;-;612627;-;C0220669;G40.3
ORPHA:307;D020190;607682;10071082;C0270853;G40.3
ORPHA:308;D020194;612437;10054895;C0751785;G40.3
ORPHA:309;-;-;-;-;G40.1
ORPHA:310;D020195;-;-;C0270857;G40.8
ORPHA:312;-;607602;-;C0079153;Q80.3
ORPHA:313;D017490;612281;10023686;-;Q80.2
ORPHA:314;-;609536;-;-;L21.1
ORPHA:315;-;-;-;-;Q82.8
ORPHA:316;-;133200;-;-;Q82.8
ORPHA:317;-;133200;10049048;C0265961;Q82.8
ORPHA:318;-;133180;-;C0023440;C94.0
ORPHA:319;-;612219;10015560;C0553580;C41.3
ORPHA:320;D043204;218030;-;C2936861;E26.1
ORPHA:321;-;600209;-;C0015306;Q78.6
ORPHA:322;-;600057;-;C1838703;Q64.1
ORPHA:324;D000795;301500;10016016;C0002986;E75.2
ORPHA:325;-;613679;-;C3203356;D68.2
ORPHA:326;-;227400;10048930;C0015499;D68.2
ORPHA:327;-;227500;10016079;C0015503;D68.2
ORPHA:328;-;227600;-;C0015519;D68.2
ORPHA:329;-;612416;-;C0015523;D68.1
ORPHA:330;-;234000;-;C0015526;D68.2
ORPHA:331;-;613235;-;C0015530;D68.2
ORPHA:332;-;261000;10070440;C0340957;D51.0
ORPHA:333;C537075;228000;-;C2936785;E75.2
ORPHA:334;-;608583;-;-;I48.9
ORPHA:335;-;202400;-;-;D68.2
ORPHA:337;D009221;135100;10068715;C0016037;M61.1
ORPHA:338;-;-;-;-;-
ORPHA:340;D006480;-;10023484;C2930957;N08.0*
ORPHA:341;-;-;-;C0282687;-
ORPHA:342;D010505;134610;10016207;C0585274;E85.0
ORPHA:343;-;260920;-;C0398691;E85.0
ORPHA:344;-;-;-;-;-
ORPHA:345;-;260910;10056961;-;L08.8
ORPHA:346;-;-;-;-;L66.2
ORPHA:347;D052159;136680;-;C0950122;N04.1
ORPHA:348;-;229700;-;C0016756;E74.1
ORPHA:349;D005645;230000;-;C0016788;E77.1
ORPHA:351;C536411;256540;-;C0268233;E77.1
ORPHA:352;D005693;230350;10017604;C0016952;E74.2
ORPHA:353;-;253700;-;C0410173;G71.0
ORPHA:354;D016537;230500;-;C2718068;E75.1
ORPHA:355;D005776;610539;10018048;C0017205;E75.2
ORPHA:356;D016098;137440;10072075;C0017495;A81.8
ORPHA:358;D053579;263800;10062906;C0268450;N15.8
ORPHA:359;-;-;-;-;-
ORPHA:360;D005909;137800;10018337;C0017636;C71.9
ORPHA:361;-;609197;-;-;E27.1
ORPHA:364;-;232240;10018464;C0017920;E74.0
ORPHA:365;D006009;232300;10053185;C0017921;E74.0
ORPHA:366;-;232400;10053250;C0017922;E74.0
ORPHA:367;-;232500;10053249;C0017923;E74.0
ORPHA:368;C537276;232600;10018462;C0017924;E74.0
ORPHA:369;-;232700;10053240;C0017925;E74.0
ORPHA:370;-;-;-;C0268147;E74.0
ORPHA:371;-;232800;10053241;C0017926;E74.0
ORPHA:373;C537340;312870;-;C0796154;Q87.3
ORPHA:374;D006053;164210;-;C0265240;Q87.0
ORPHA:375;-;233450;10018620;C0403529;M31.0+
ORPHA:376;C537288;114300;-;C0220666;Q68.8
ORPHA:377;-;109400;10062804;C0812437;Q87.8
ORPHA:379;D006105;233670;10008906;C0018203;D71
ORPHA:380;C537300;175700;10053878;C0265306;Q87.0
ORPHA:381;-;214450;-;-;E70.3
ORPHA:382;C537622;612736;-;C0574080;E72.8
ORPHA:383;-;304400;-;C1844678;H90.8
ORPHA:384;-;181600;-;C0406767;Q82.8
ORPHA:385;C538421;-;-;C2931845;G23.0
ORPHA:386;-;-;-;C0334091;D13.4
ORPHA:388;D006627;608462;10010539;C0019569;Q43.1
ORPHA:389;D006646;604856;10069698;C0019621;C96.0
ORPHA:390;D006660;-;10021808;C0153261;B39.9
ORPHA:391;-;236000;-;-;C81.4
ORPHA:392;C535326;142900;10050469;C0265264;Q87.2
ORPHA:393;D058531;300833;-;C0432475;Q99.1
ORPHA:394;-;236200;10071093;C0751202;E72.1
ORPHA:395;-;236250;-;C1856061;E72.1
ORPHA:396;-;-;-;-;-
ORPHA:397;D013700;187360;10018250;C1956391;M31.6
ORPHA:399;D006816;143100;10070668;C0020179;G10
ORPHA:400;D004443;-;10014096;C0013502;B67.5
ORPHA:401;D006925;-;10020546;C0020413;B71.0
ORPHA:403;-;103900;-;C1260386;E26.0
ORPHA:404;-;605635;-;C1854107;E26.0
ORPHA:405;-;145981;-;C1809471;E83.5
ORPHA:407;-;605899;-;C0751748;E72.5
ORPHA:408;C538138;307030;-;C0268418;E74.8
ORPHA:409;C538377;144150;10071311;C0263420;-
ORPHA:411;-;-;-;-;-
ORPHA:412;D006952;617347;10060751;C0020479;E78.2
ORPHA:414;C537132;258870;-;C0018425;E72.4
ORPHA:415;-;238970;-;C0268540;E72.4
ORPHA:416;D006959;260000;10020703;C0020501;E74.8
ORPHA:417;-;239200;-;C1832615;E21.0
ORPHA:418;D000312;613571;10010323;C0001627;E25.0
ORPHA:419;-;239500;10058513;C0268529;E72.5
ORPHA:422;-;265400;-;-;I27.0
ORPHA:423;D008305;154276;10020844;C0024591;T88.3
ORPHA:424;-;609152;-;-;E05.8
ORPHA:425;D052456;604091;10065133;C0342898;E78.6
ORPHA:427;-;610600;-;-;E27.4
ORPHA:428;-;615361;-;-;E20.8
ORPHA:429;-;146000;10020967;C0410529;Q77.4
ORPHA:430;-;-;-;-;-
ORPHA:431;-;-;-;-;-
ORPHA:432;-;610628;-;-;E23.0
ORPHA:435;-;300337;-;C0022283;Q87.8
ORPHA:436;D007014;146300;10049933;C0020630;E83.3
ORPHA:437;-;-;10060873;C2363065;E83.3
ORPHA:439;-;277200;-;C1848587;Q22.6
ORPHA:440;-;300856;-;-;Q54.9
ORPHA:441;D054970;-;-;C0393911;G90.3
ORPHA:442;D003409;-;10010510;C0010308;E03.0
ORPHA:444;C535912;612841;-;C2931059;Q84.0
ORPHA:446;C536394;231100;-;C0268059;E83.1
ORPHA:447;D006457;300818;10034042;C0024790;D59.5
ORPHA:448;-;-;10061992;C0684275;-
ORPHA:449;D018197;114550;10062001;C0206624;C22.2
ORPHA:450;-;270100;10067265;C3178805;Q89.3
ORPHA:452;-;300215;-;C1846171;Q04.3
ORPHA:453;-;-;-;-;-
ORPHA:454;-;-;-;-;L85.0
ORPHA:455;D053560;146800;-;C0432306;Q80.8
ORPHA:457;-;242500;10019163;C0598226;Q80.4
ORPHA:461;D016114;308100;10048063;C2720163;Q80.1
ORPHA:464;D007184;308300;-;C2930820;Q82.3
ORPHA:465;-;613329;-;C2750067;D68.8
ORPHA:466;D034062;600072;10072077;C0206042;A81.8
ORPHA:467;-;-;-;-;E23.0
ORPHA:469;D005633;229600;10019878;C0016751;E74.1
ORPHA:470;-;222700;10058300;C0268647;E72.0
ORPHA:472;D021865;-;10023076;C0311386;A07.3
ORPHA:474;C537571;615633;10057621;C0265275;Q77.2
ORPHA:475;-;614615;-;-;Q04.3
ORPHA:477;-;242150;10048786;C0265336;Q80.8
ORPHA:478;D017436;610628;10053142;C0162809;E23.0
ORPHA:480;D007625;530000;10048804;C0022541;H49.8
