Orphanet;MeSH;OMIM;MedDRA;UMLS;ICD-10
ORPHA:99748;-;-;10054161;C0343528;A48.2
ORPHA:99749;-;610738;-;-;D70
ORPHA:99750;C537240;260540;-;C1850077;G23.1
ORPHA:99756;D018232;268220;10065867;C0206655;C49.9
ORPHA:99757;D018233;268210;10065868;C0206656;C49.9
ORPHA:99763;-;610600;-;C0268293;E27.4
ORPHA:99764;-;606984;-;C1846990;E27.4
ORPHA:99771;-;-;-;C0266122;Q35.7
ORPHA:99772;-;119570;-;C0432098;Q35.3
ORPHA:99776;C535454;-;-;C2930908;Q92.1
ORPHA:99777;-;-;-;-;-
ORPHA:99781;-;-;-;-;-
ORPHA:99782;-;-;-;-;-
ORPHA:99789;C538215;-;-;C0399379;K00.5
ORPHA:99791;-;125420;-;C0399380;K00.5
ORPHA:99792;C538213;125440;-;C1852201;K00.5
ORPHA:99796;-;600348;-;C1848201;Q04.3
ORPHA:99797;D000848;206780;10002583;C0399352;K00.0
ORPHA:99798;-;617073;-;-;K00.0
ORPHA:99802;-;-;-;C0431391;Q04.5
ORPHA:99803;C536209;209880;-;C1859587;G47.3
ORPHA:99806;-;166750;-;C2750325;K00.2
ORPHA:99807;-;617507;-;C1850056;-
ORPHA:99810;C536850;614483;-;C1867983;Q04.6
ORPHA:99811;C537394;243185;-;C1855733;K59.8
ORPHA:99812;-;606593;-;C1847827;D81.1
ORPHA:99817;-;-;-;-;-
ORPHA:99818;-;175100;-;-;D12.6
ORPHA:99819;C566384;603373;-;C1863959;E05.8
ORPHA:99824;D007835;-;10023927;C0023092;A96.2
ORPHA:99825;-;-;-;-;A98.8
ORPHA:99826;-;-;10026822;C0024788;A98.3
ORPHA:99827;-;-;-;C0019099;A98.0
ORPHA:99828;D003715;614371;10012310;C0376300;A97.9
ORPHA:99829;D015004;-;10048240;C0043395;A95.0
ORPHA:99831;-;-;-;-;-
ORPHA:99832;-;-;-;-;E03.1
ORPHA:99842;C535887;116920;-;C0398738;D84.8
ORPHA:99843;-;266265;-;C0398739;D84.8
ORPHA:99844;-;612840;-;C2748536;D84.8
ORPHA:99845;-;550500;-;-;R82.1
ORPHA:99846;-;160010;-;C1834567;R82.1
ORPHA:99849;-;612932;-;C2752027;E74.0
ORPHA:99852;-;-;-;-;E75.2
ORPHA:99853;-;603896;-;C1847967;E75.2
ORPHA:99854;-;603896;-;C1858991;E75.2
ORPHA:99856;-;-;-;C1861301;Q06.4
ORPHA:99857;-;-;-;-;G95.0
ORPHA:99858;-;-;-;-;G95.0
ORPHA:99859;-;-;-;-;-
ORPHA:99860;-;615545;-;C0006413;C83.5
ORPHA:99861;-;-;-;C1961099;C91.0
ORPHA:99864;-;-;-;-;-
ORPHA:99865;-;273300;-;C0334517;C62.9
ORPHA:99866;-;-;-;-;-
ORPHA:99867;D013945;274230;10043670;C0040100;D15.0
ORPHA:99868;-;-;10061031;C1322286;C37
ORPHA:99869;-;-;-;-;C37
ORPHA:99870;C538636;246400;10024265;C0023381;C96.0
ORPHA:99871;D004803;-;10014956;C0014461;C96.6
ORPHA:99872;C535843;-;-;C1275336;C96.5
ORPHA:99873;-;-;-;-;C96.5
ORPHA:99874;-;-;-;C1455705;C96.5
ORPHA:99875;-;-;-;-;-
ORPHA:99876;-;-;-;-;-
ORPHA:99877;C564166;145000;-;C1840403;E21.0
ORPHA:99878;-;600166;-;-;E21.0
ORPHA:99879;-;617343;-;-;E21.0
ORPHA:99880;-;145001;-;C1704981;E21.0
ORPHA:99885;-;606176;-;C1833104;P70.2
ORPHA:99886;-;601410;-;C1832386;P70.2
ORPHA:99887;-;-;-;-;C94.2
ORPHA:99889;-;-;-;-;E24.3
ORPHA:99892;-;-;-;C0342442;E24.0
ORPHA:99893;-;-;-;-;E24.8
ORPHA:99898;C535530;209950;-;C2930924;D84.8
ORPHA:99900;C535690;-;-;C0220711;E71.3
ORPHA:99901;-;611126;-;C1970173;E71.3
ORPHA:99903;-;-;-;C0152062;A25.0
ORPHA:99905;-;-;-;-;A25.1
ORPHA:99906;D005203;-;10016221;C0015634;J67.0
ORPHA:99907;-;-;-;-;J67.8
ORPHA:99908;D001716;145300;10004941;C0031903;J67.2
ORPHA:99909;-;-;-;-;-
ORPHA:99912;-;-;-;-;C56
ORPHA:99913;-;-;-;-;-
ORPHA:99914;-;-;-;C0018413;D40.1
ORPHA:99915;D006106;-;-;C1567257;C56
ORPHA:99916;-;-;-;C0036769;C56
ORPHA:99917;-;-;-;-;C56
ORPHA:99918;-;-;10044251;C0343532;A48.3
ORPHA:99919;-;-;10044250;C3714602;A48.3
ORPHA:99920;-;-;10066260;C0856825;T86.0
ORPHA:99921;D006086;-;10066261;C0867389;T86.0
ORPHA:99922;-;-;10067776;C0157721;L12+
ORPHA:99925;-;-;-;C0008493;D39.2
ORPHA:99926;-;-;-;C0349557;C58
ORPHA:99927;D006828;614293;10020481;C0020217;O01.9
ORPHA:99928;D018245;-;-;C0206666;D39.2
ORPHA:99930;-;-;-;-;J99.8*
ORPHA:99931;C536281;178550;-;C0020807;J99.8*
ORPHA:99932;-;-;-;-;J99.8*
ORPHA:99933;-;-;-;-;C34.1
ORPHA:99934;-;-;-;-;C34.1
ORPHA:99935;-;-;-;-;C34.1
ORPHA:99936;-;600882;-;C1833219;G60.0
ORPHA:99937;-;606071;-;C1853710;G60.0
ORPHA:99938;-;601472;-;C1832274;G60.0
ORPHA:99939;-;607684;-;C1843225;G60.0
ORPHA:99940;-;606595;-;C1847823;G60.0
ORPHA:99941;-;608591;-;C1837805;G60.0
ORPHA:99942;-;607677;-;C3888087;G60.0
ORPHA:99943;-;607736;-;C1843153;G60.0
ORPHA:99944;-;607831;-;C1842983;G60.0
ORPHA:99945;-;608673;-;C3888087;G60.0
ORPHA:99946;-;118210;-;C1861678;G60.0
ORPHA:99947;-;609260;-;C1836485;G60.0
ORPHA:99948;C535419;214400;-;C1859198;G60.0
ORPHA:99949;C535423;601596;-;C1866636;G60.0
ORPHA:99950;C535716;601455;-;C1832334;G60.0
ORPHA:99951;C535301;605253;-;-;G60.0
ORPHA:99952;-;614895;-;-;G60.0
ORPHA:99953;-;605285;-;C1854449;G60.0
ORPHA:99954;-;609311;-;C1836336;G60.0
ORPHA:99955;C535420;601382;-;C1832399;G60.0
ORPHA:99956;C535421;604563;-;C1858278;G60.0
ORPHA:99960;C535930;243300;-;C1855731;K83.1
ORPHA:99961;C535931;605479;-;C2608083;K83.1
ORPHA:99965;-;-;10069682;C2721741;G12.8
ORPHA:99966;-;609322;-;-;C49.9
ORPHA:99967;D018208;613488;-;C0206634;C49.9
ORPHA:99969;-;-;-;C0205825;C49.9
ORPHA:99970;-;-;-;C0205824;C49.9
ORPHA:99971;-;-;-;C1370889;C49.9
ORPHA:99972;-;-;-;-;-
ORPHA:99973;-;-;-;-;-
ORPHA:99974;-;-;-;-;-
ORPHA:99976;-;614266;-;C0279628;C15.5
ORPHA:99977;-;133239;-;C0279626;C15.3
ORPHA:99978;D018285;-;-;C0206702;C24.0
ORPHA:99981;-;-;-;C0475715;P28.4
ORPHA:99983;-;-;-;C0027031;B87.0
ORPHA:99985;-;-;-;-;-
ORPHA:99986;-;-;-;-;-
ORPHA:99987;-;-;-;-;-
ORPHA:99989;-;-;-;-;-
ORPHA:99990;-;-;-;C0006181;A75.1
ORPHA:99991;-;-;-;-;A75.0
ORPHA:99994;-;-;10064335;C0007462;G56.4
ORPHA:99995;-;604335;10064334;C1527353;M89.0
ORPHA:100000;-;-;-;-;-
ORPHA:100001;-;-;-;-;-
ORPHA:100002;-;-;-;-;-
ORPHA:100003;-;-;-;C1370658;-
ORPHA:100006;D028243;605714;-;C0268394;I68.0*
ORPHA:100008;-;105150;-;C1527338;I68.0*
ORPHA:100011;-;-;-;-;Q04.3
ORPHA:100012;-;-;-;-;Q04.3
ORPHA:100013;-;-;-;-;Q04.3
ORPHA:100014;-;-;-;-;Q04.3
ORPHA:100015;-;-;-;-;Q04.3
ORPHA:100016;-;-;-;-;Q04.3
ORPHA:100019;-;-;-;C1318550;D46.2
ORPHA:100020;-;-;-;C1318551;D46.2
ORPHA:100021;-;-;-;-;C90.3
ORPHA:100022;-;-;-;-;C90.2
ORPHA:100024;-;-;-;C0242310;C88.2
ORPHA:100025;-;-;-;C0021071;C88.3
ORPHA:100026;-;-;-;C0018854;C88.2
ORPHA:100031;-;617297;-;C0399367;K00.5
ORPHA:100032;-;616221;-;C0399376;K00.5
ORPHA:100033;C536606;612529;-;C0399372;K00.5
ORPHA:100034;-;104510;-;C1863012;K00.5
ORPHA:100035;-;-;-;-;D13.4
ORPHA:100039;-;-;-;-;-
ORPHA:100040;-;-;-;-;-
ORPHA:100041;-;-;-;-;-
ORPHA:100043;-;606483;-;C1847896;G60.0
ORPHA:100044;-;606482;-;C1847902;G60.0
ORPHA:100045;-;608323;-;C1842237;G60.0
ORPHA:100046;-;607791;-;C1843075;G60.0
ORPHA:100047;-;-;-;-;Q39.8
ORPHA:100048;-;-;-;-;Q39.8
ORPHA:100049;-;-;-;-;-
ORPHA:100050;C538577;106100;-;C0398775;D84.1
ORPHA:100051;-;106100;-;C0398776;D84.1
ORPHA:100054;D056828;610618;-;C1960459;D84.1
ORPHA:100055;-;-;-;-;T78.3
ORPHA:100056;-;-;-;-;T78.3
ORPHA:100057;-;300909;-;-;T78.3
ORPHA:100067;D014884;-;10047847;C1403891;E35.1*
ORPHA:100069;-;172700;-;C0338462;G31.0
ORPHA:100070;D057178;172700;10029542;C0751706;G31.0
ORPHA:100071;-;-;-;-;Q92.1
ORPHA:100072;-;-;-;-;-
ORPHA:100073;-;-;-;C0751549;G54.0
ORPHA:100075;-;-;-;-;-
ORPHA:100076;-;-;-;-;-
ORPHA:100077;-;-;-;-;-
ORPHA:100078;-;-;-;-;-
ORPHA:100079;-;-;-;-;D37.3
ORPHA:100080;-;-;-;-;-
ORPHA:100081;-;-;-;-;-
ORPHA:100082;-;-;-;-;-
ORPHA:100083;-;-;-;-;-
ORPHA:100084;-;-;-;-;-
ORPHA:100085;-;-;-;-;C22.7
ORPHA:100086;-;-;-;-;C23
ORPHA:100087;-;-;-;C0040136;-
ORPHA:100088;-;-;10007476;C0549473;-
ORPHA:100090;-;-;-;C0030521;C75.0
ORPHA:100091;-;-;-;-;-
ORPHA:100092;-;-;-;-;-
ORPHA:100093;-;114900;-;-;E34.0
ORPHA:100094;-;-;-;C0027662;D44.8
ORPHA:100100;-;-;-;C3714644;-
ORPHA:100101;-;-;-;-;-
ORPHA:100924;-;612740;-;-;E80.2
ORPHA:100932;-;-;-;-;-
ORPHA:100973;-;309548;-;-;-
ORPHA:100974;-;-;-;-;-
ORPHA:100976;-;242300;-;-;Q80.2
ORPHA:100978;-;-;-;-;Q87.5
ORPHA:100979;-;-;-;-;G11.4
ORPHA:100980;-;-;-;-;G11.4
ORPHA:100981;-;-;-;-;G11.4
ORPHA:100982;-;-;-;-;G11.4
ORPHA:100984;C536864;182600;-;C2931355;G11.4
ORPHA:100985;C536865;182601;-;C1866855;G11.4
ORPHA:100986;C536871;270800;-;C1849115;G11.4
ORPHA:100988;C536866;600363;-;C1838192;G11.4
ORPHA:100989;C536867;603563;-;C1863704;G11.4
ORPHA:100990;-;-;-;-;-
ORPHA:100991;C537482;604187;-;C1858712;G11.4
ORPHA:100993;C537484;604805;-;C1858106;G11.4
ORPHA:100994;C537485;605280;-;C1854467;G11.4
ORPHA:100995;C537486;605229;-;C1854568;G11.4
ORPHA:100996;C536642;270700;-;C1849128;G11.4
ORPHA:100997;C536643;300266;-;C1846046;G11.4
ORPHA:100998;-;270685;-;C2931276;G11.4
ORPHA:100999;C536856;607152;-;C1846685;G11.4
ORPHA:101000;-;275900;-;C0393559;G11.4
ORPHA:101001;-;248900;-;C1855346;G11.4
ORPHA:101003;-;270750;-;C0796019;G11.4
ORPHA:101004;-;607584;-;C1843569;G11.4
ORPHA:101005;C536861;608220;-;C2936860;G11.4
ORPHA:101006;C536862;609195;-;C1836632;G11.4
ORPHA:101007;-;609041;-;C1836899;G11.4
ORPHA:101008;-;609340;-;C1836295;G11.4
ORPHA:101009;C536863;609727;-;C1857855;G11.4
ORPHA:101010;-;610357;-;C1835896;G11.4
ORPHA:101011;-;610250;-;C1853247;G11.4
ORPHA:101016;D029597;612955;10039211;C0035828;I45.8
ORPHA:101022;-;-;-;-;-
ORPHA:101023;-;-;-;-;Q35.1
ORPHA:101028;-;606003;-;C1291329;E74.8
ORPHA:101029;-;-;-;-;Q04.8
ORPHA:101030;-;-;10071150;C3160906;Q04.8
ORPHA:101033;-;-;-;-;-
ORPHA:101036;-;-;-;-;-
ORPHA:101039;-;300088;-;C1848137;-
ORPHA:101041;-;202400;-;C2584774;D68.2
ORPHA:101042;-;-;-;-;-
ORPHA:101043;-;-;-;C0344993;Q23.0
ORPHA:101046;-;616461;-;C1838062;-
ORPHA:101049;C537146;145981;-;C2931427;E83.5
ORPHA:101050;C537147;600740;-;C1833372;E83.5
ORPHA:101052;-;-;-;-;-
ORPHA:101063;-;-;-;C0037221;Q89.3
ORPHA:101068;-;610048;-;C1864738;H18.5
ORPHA:101070;-;606854;-;C1847352;Q04.3
ORPHA:101071;-;-;-;-;Q04.3
ORPHA:101075;C535919;302800;-;C0393808;G60.0
ORPHA:101076;-;302801;-;C1844873;G60.0
ORPHA:101077;-;302802;-;C1844865;G60.0
ORPHA:101078;-;310490;-;C0795910;G60.0
ORPHA:101081;-;118220;-;C0270911;G60.0
ORPHA:101082;-;118200;-;C0270912;G60.0
ORPHA:101083;C537984;601098;-;C0270913;G60.0
ORPHA:101084;C537985;607678;-;C1843247;G60.0
ORPHA:101085;-;607734;-;C1843164;G60.0
ORPHA:101088;-;308230;-;C0398689;D80.5
ORPHA:101089;-;605258;-;C1720956;D80.5
ORPHA:101090;-;606843;-;C1720957;D80.5
ORPHA:101091;-;608184;-;C1842413;D80.5
ORPHA:101092;-;608106;-;C1720958;D80.5
ORPHA:101096;-;-;10054329;C0553669;D46.7
ORPHA:101097;-;607706;-;C1842983;G60.0
ORPHA:101101;C537991;605589;-;C1854150;G60.0
ORPHA:101102;C535415;607731;-;C1843173;G60.0
ORPHA:101104;-;-;-;-;Q07.8
ORPHA:101106;-;-;-;-;-
ORPHA:101107;-;-;-;-;-
ORPHA:101108;C537201;610245;-;C1853250;G11.2
ORPHA:101109;C537205;610246;-;C1853249;G11.1
ORPHA:101110;C537199;608687;-;C1837541;G11.2
ORPHA:101111;C537202;608703;-;C1837518;G11.8
ORPHA:101112;C537203;609306;-;C1836395;G11.2
ORPHA:101150;-;605407;-;C2673535;G24.1
ORPHA:101151;-;-;-;-;-
ORPHA:101206;-;-;-;-;Q22.2
ORPHA:101330;D017119;176100;10036183;C0162566;E80.1
ORPHA:101334;-;-;-;-;A77.1
ORPHA:101335;-;-;-;-;-
ORPHA:101336;-;-;-;-;-
ORPHA:101337;-;-;-;-;-
ORPHA:101338;-;-;-;-;-
ORPHA:101351;-;271400;-;-;Q89.0
ORPHA:101356;-;-;-;-;-
ORPHA:101433;-;-;-;-;-
ORPHA:101435;-;-;-;-;-
ORPHA:101685;-;-;-;-;-
ORPHA:101932;-;-;-;-;Q23.8
ORPHA:101934;-;-;-;-;-
ORPHA:101936;-;-;-;-;-
ORPHA:101937;-;-;-;C0030286;-
ORPHA:101938;-;-;-;C0400923;-
ORPHA:101939;-;-;-;-;-
ORPHA:101940;-;-;10019689;C0851734;-
ORPHA:101941;-;-;-;C0005424;-
ORPHA:101943;-;-;-;-;-
ORPHA:101944;-;-;-;C0024115;-
ORPHA:101945;-;-;-;-;-
ORPHA:101949;-;-;-;-;-
ORPHA:101950;-;-;-;C0015414;-
ORPHA:101952;-;-;-;C0011860;-
ORPHA:101953;-;-;-;C0242339;E78.9
ORPHA:101954;-;-;-;C0001621;-
ORPHA:101955;-;-;-;C0040128;-
ORPHA:101956;-;-;-;-;E31.8
ORPHA:101957;-;-;-;C0020635;E23.0
ORPHA:101958;-;-;10052381;-;-
ORPHA:101959;-;-;-;C0001403;-
ORPHA:101960;-;-;-;-;-
ORPHA:101963;-;-;-;-;-
ORPHA:101972;-;-;-;-;D81.6
ORPHA:101977;-;-;-;-;D80.7
ORPHA:101978;-;-;-;-;-
ORPHA:101980;-;-;-;-;-
ORPHA:101982;-;-;-;-;-
ORPHA:101985;-;-;-;-;-
ORPHA:101987;-;-;-;-;D70
ORPHA:101988;-;-;-;-;-
ORPHA:101992;-;-;-;-;D84.1
ORPHA:101995;-;-;10034533;C0015974;E85.0
ORPHA:101997;-;-;10064859;C0398686;-
ORPHA:101998;-;-;-;C0014544;G40.7
ORPHA:102000;-;-;-;-;-
ORPHA:102002;-;-;-;-;-
ORPHA:102003;-;-;-;C0026650;-
ORPHA:102005;-;-;-;-;-
ORPHA:102006;-;-;-;-;-
ORPHA:102009;-;-;-;C1843916;Q04.3
ORPHA:102010;-;-;-;-;Q04.3
ORPHA:102011;-;-;-;C1969029;Q04.3
ORPHA:102012;-;-;-;C0393555;G11.4
ORPHA:102013;-;-;-;-;G11.4
ORPHA:102014;-;-;-;-;G71.0
ORPHA:102015;-;-;-;C2931907;G71.0
ORPHA:102020;-;-;-;C0026499;Q93.0
ORPHA:102021;-;-;-;C0035585;-
ORPHA:102022;-;-;-;-;A77.9
ORPHA:102023;-;-;-;C0343758;A75.9
ORPHA:102024;-;-;-;-;-
ORPHA:102025;-;-;-;-;-
ORPHA:102069;-;-;-;-;-
ORPHA:102237;-;-;-;-;E85.0
ORPHA:102283;-;-;-;-;-
ORPHA:102284;-;-;-;-;-
ORPHA:102285;-;-;-;-;-
ORPHA:102369;-;-;-;-;-
ORPHA:102373;-;-;-;-;-
ORPHA:102379;-;-;-;-;C92.8
ORPHA:102381;-;-;-;-;C92.0
ORPHA:102724;-;-;-;-;C92.0
ORPHA:103907;-;-;-;-;E74.3
ORPHA:103908;-;270420;-;C0267663;P78.3
ORPHA:103909;-;612119;-;C0268187;E74.3
ORPHA:103910;-;-;-;-;P78.3
ORPHA:103912;-;-;-;-;-
ORPHA:103915;-;-;-;-;-
ORPHA:103916;-;-;-;-;-
ORPHA:103917;-;-;-;-;-
ORPHA:103918;-;608189;-;C1842402;K86.1
ORPHA:103919;-;-;10069002;C2609129;K86.1
ORPHA:103920;-;-;-;-;K52.3
ORPHA:104003;-;-;-;-;-
ORPHA:104004;-;-;-;-;-
ORPHA:104005;-;-;-;-;-
ORPHA:104006;-;-;-;-;-
ORPHA:104007;-;-;-;-;-
ORPHA:104008;D012778;-;10049416;C0036992;-
ORPHA:104009;-;-;-;-;-
ORPHA:104010;D044483;-;10057018;C1257915;-
ORPHA:104011;-;-;-;C0021841;-
ORPHA:104012;-;-;-;C0021390;-
ORPHA:104013;-;-;-;-;-
ORPHA:104075;-;-;-;C0278803;D01.4
ORPHA:104076;-;-;-;C0920305;C17.8
ORPHA:104077;-;-;-;-;K59.8
ORPHA:104078;-;-;-;-;K59.8
ORPHA:108959;-;-;-;-;-
ORPHA:108961;-;-;-;-;-
ORPHA:108963;-;-;-;-;-
ORPHA:108965;-;-;-;-;-
ORPHA:108967;-;-;-;-;-
ORPHA:108969;-;-;-;-;-
ORPHA:108971;-;-;-;-;-
ORPHA:108973;-;-;-;-;-
ORPHA:108977;-;-;-;-;-
ORPHA:108979;-;-;-;-;-
ORPHA:108985;-;-;-;-;-
ORPHA:108987;-;-;-;-;-
ORPHA:108989;-;-;-;-;-
ORPHA:108991;-;-;-;-;-
ORPHA:108993;-;-;-;-;-
ORPHA:108995;-;-;-;-;-
ORPHA:108997;-;-;-;C0002871;-
ORPHA:108999;-;-;-;-;-
ORPHA:109007;D001176;-;-;C0003886;Q68.8
ORPHA:109009;-;-;-;-;Q87.2
ORPHA:109011;-;-;-;-;-
ORPHA:117569;-;-;-;C0021831;-
ORPHA:117573;-;-;-;-;-
ORPHA:117594;-;-;-;-;-
ORPHA:137577;-;-;-;C0752304;P11.1
ORPHA:137583;-;-;-;C0346210;D07.1
ORPHA:137586;-;-;-;C0019357;H19.1*
ORPHA:137593;-;-;-;-;-
ORPHA:137596;-;-;10069732;C0339296;H16.2
ORPHA:137599;-;-;-;C1318020;H16.3
ORPHA:137602;-;-;-;-;-
ORPHA:137605;C548032;611431;-;C1969623;Q85.0
ORPHA:137608;-;-;-;-;-
ORPHA:137617;-;-;10067467;C3888044;-
ORPHA:137622;-;-;-;-;Q87.8
ORPHA:137625;-;611556;-;-;E74.0
ORPHA:137628;-;-;-;-;Q28.8
ORPHA:137631;-;611926;-;-;D82.8
ORPHA:137634;-;614192;-;-;Q87.3
ORPHA:137639;-;607694;-;C2676243;E75.2
ORPHA:137653;-;-;-;-;-
ORPHA:137658;-;-;-;-;-
ORPHA:137667;-;608354;-;C1842180;Q27.3
ORPHA:137672;-;-;-;-;H18.7
ORPHA:137675;C535584;500000;-;C1708371;I42.0
ORPHA:137678;C535766;609162;-;C1836683;Q77.7
ORPHA:137681;-;609060;-;C1836797;E88.8
ORPHA:137686;-;-;10053868;C0241593;N85.6
ORPHA:137698;-;-;-;-;-
ORPHA:137754;-;609924;-;C1835922;E72.8
ORPHA:137776;-;607598;-;C1843478;Q68.8
ORPHA:137783;-;614915;-;C1969655;Q68.8
ORPHA:137807;-;-;10011659;C0268397;L99.0*
ORPHA:137810;-;-;10056953;C0546394;L99.0*
ORPHA:137814;-;-;-;-;L99.0*
ORPHA:137817;D001100;182950;10003074;C0270617;G03.9
ORPHA:137820;-;-;-;C0014175;N80.0
ORPHA:137831;-;300486;-;C1845366;Q04.3
ORPHA:137834;-;249420;-;C1855305;Q87.8
ORPHA:137839;D057831;-;10065552;C0343525;I80.8
ORPHA:137862;-;-;-;-;-
ORPHA:137867;-;-;-;C0393551;G12.2
ORPHA:137871;-;-;-;-;-
ORPHA:137888;C538270;602483;-;C1865295;Q75.8
ORPHA:137893;-;243060;-;C0403812;N46
ORPHA:137898;-;611105;-;C1970180;E75.2
ORPHA:137902;-;165550;-;C0338502;H47.0
ORPHA:137905;-;-;-;-;-
ORPHA:137908;-;611719;-;C2673642;E88.8
ORPHA:137911;-;-;-;-;-
ORPHA:137914;D002754;608911;10008587;C0008297;Q30.0
ORPHA:137917;-;-;-;-;Q30.0
ORPHA:137920;-;-;-;-;Q30.0
ORPHA:137923;-;-;-;-;-
ORPHA:137926;-;-;-;-;D18.1
ORPHA:137929;-;-;-;-;-
ORPHA:137932;-;-;-;C0396058;J38.0
ORPHA:137935;-;-;-;-;D18.0
ORPHA:138041;-;-;-;-;-
ORPHA:138044;-;-;-;C0031900;-
ORPHA:138047;-;-;-;-;-
ORPHA:138050;-;-;-;-;-
ORPHA:138055;-;-;-;-;-
ORPHA:138059;-;-;-;-;-
ORPHA:138063;-;-;-;-;-
ORPHA:138066;-;-;-;-;-
ORPHA:138069;-;-;-;-;-
ORPHA:138072;-;-;-;-;-
ORPHA:138076;-;-;-;-;-
ORPHA:138080;-;-;-;-;-
ORPHA:138084;-;-;-;-;-
ORPHA:138095;-;-;-;-;-
ORPHA:138101;-;-;-;-;-
ORPHA:138104;-;-;-;-;-
ORPHA:138109;-;-;-;-;-
ORPHA:138112;-;-;-;-;-
ORPHA:138115;-;-;-;-;-
ORPHA:138118;-;-;-;-;-
ORPHA:138221;-;-;-;-;-
ORPHA:139006;-;-;-;-;-
ORPHA:139009;-;-;-;-;-
ORPHA:139012;-;-;-;C0005941;-
ORPHA:139015;-;-;-;-;-
ORPHA:139018;-;-;-;-;-
ORPHA:139021;-;-;-;-;-
ORPHA:139024;-;-;-;-;-
ORPHA:139027;-;-;-;-;-
ORPHA:139030;-;-;-;-;-
ORPHA:139033;-;-;-;-;-
ORPHA:139036;-;-;-;-;-
ORPHA:139039;-;-;-;-;-
ORPHA:139042;-;-;-;-;-
ORPHA:139373;-;-;-;-;-
ORPHA:139380;-;-;-;-;-
ORPHA:139390;-;-;-;C0010278;Q75.0
ORPHA:139393;-;-;-;-;-
ORPHA:139396;-;300100;-;-;E71.3
ORPHA:139399;-;300100;-;C1527231;E71.3
ORPHA:139402;-;-;10058919;C3541994;T78.4
ORPHA:139406;-;611721;-;-;E75.2
ORPHA:139411;-;604287;-;C1858592;D44.8
ORPHA:139414;-;-;-;-;-
ORPHA:139417;-;-;-;C0270627;G37.3
ORPHA:139420;-;-;-;-;G37.3
ORPHA:139423;-;-;-;-;G37.3
ORPHA:139426;-;-;-;-;-
ORPHA:139431;-;-;-;-;G40.3
ORPHA:139436;-;-;10070595;C0311284;D76.3
ORPHA:139441;-;612438;-;-;E75.2
ORPHA:139444;-;-;-;-;E75.2
ORPHA:139447;-;-;-;-;E75.2
ORPHA:139450;-;611863;-;C2678482;Q15.8
ORPHA:139455;-;611809;-;-;H35.5
ORPHA:139466;-;611812;-;C2678492;Q87.8
ORPHA:139471;-;607932;-;C1864689;Q11.2
ORPHA:139474;-;613675;-;C3150928;Q92.3
ORPHA:139477;-;-;-;-;-
ORPHA:139480;-;612020;-;C2677586;G11.4
ORPHA:139485;-;612016;-;C2677589;G11.1
ORPHA:139491;C537249;606069;-;C1853733;E83.1
ORPHA:139507;-;601195;-;C0268063;E83.1
ORPHA:139512;-;-;-;-;G60.8
ORPHA:139515;-;611228;-;C1970011;G60.0
ORPHA:139518;-;182960;-;C1866784;G12.2
ORPHA:139525;-;608634;-;C1854023;G12.2
ORPHA:139536;-;600794;-;C1833308;G12.2
ORPHA:139547;-;607088;-;C1846823;G12.2
ORPHA:139552;-;605726;-;C1854023;G12.2
ORPHA:139557;-;300489;-;C1845359;G12.2
ORPHA:139564;-;608088;-;C1842586;G60.8
ORPHA:139573;-;-;-;-;G60.8
ORPHA:139578;-;256840;-;C1850395;G60.8
ORPHA:139583;-;300614;-;-;G60.8
ORPHA:139589;-;607641;-;-;G12.2
ORPHA:140162;-;-;-;-;-
ORPHA:140286;-;-;-;-;E20.8
ORPHA:140428;-;-;-;-;-
ORPHA:140432;-;-;-;-;-
ORPHA:140436;-;606893;-;C1847197;D18.0
ORPHA:140450;-;-;-;-;-
ORPHA:140453;-;-;-;-;G60.0
ORPHA:140456;-;-;-;-;G60.0
ORPHA:140459;-;-;-;-;G60.0
ORPHA:140462;-;-;-;-;-
ORPHA:140465;-;-;-;-;G12.1
ORPHA:140468;-;-;-;-;G12.2
ORPHA:140471;D009477;-;-;C0027889;G60.8
ORPHA:140474;-;-;-;-;G60.8
ORPHA:140477;-;-;-;-;G60.8
ORPHA:140481;-;608236;-;C1842357;G60.0
ORPHA:140500;-;-;-;-;-
ORPHA:140503;-;-;-;-;-
ORPHA:140653;-;-;-;-;-
ORPHA:140874;-;-;-;-;-
ORPHA:140896;D045169;-;10061982;C1175175;U04.9
ORPHA:140905;-;614025;-;-;E78.4
ORPHA:140908;-;611377;-;C1969652;Q73.8
ORPHA:140917;-;184460;-;C1866656;Q87.8
ORPHA:140922;-;608807;-;C1837342;G71.0
ORPHA:140927;-;607745;10067866;C0220669;G40.4
ORPHA:140933;-;-;-;C1274753;L90.8
ORPHA:140936;-;608290;-;C1842307;-
ORPHA:140941;-;615961;-;-;E34.3
ORPHA:140944;-;612918;-;-;Q87.3
ORPHA:140949;-;-;-;-;-
ORPHA:140952;-;300707;-;C2678045;Q87.8
ORPHA:140957;-;187800;-;-;D69.4
ORPHA:140963;-;612290;-;C2676772;Q87.0
ORPHA:140966;-;615598;-;-;Q82.8
ORPHA:140969;C535463;266920;-;C1849437;Q87.5
ORPHA:140976;C537612;602152;-;C1865794;-
ORPHA:140989;D020293;-;-;C2930862;I67.7
ORPHA:140997;-;-;-;C0029294;Q87.0
ORPHA:141000;-;612913;-;C2752048;Q87.0
ORPHA:141007;-;258865;-;C0796102;Q87.0
ORPHA:141013;-;-;-;-;Q18.0
